smiles,threshold1,threshold2,threshold3,threshold4
CSC(=S)N1CC2(CCCCC2)CS/C1=N\c1cccc2nonc12,1,1,1,1
CC(C)CCn1c2c(cc(C(=O)NCc3ccccc3)c1=O)CCCCCC2,1,1,1,1
CC(C)(C)C(=O)COc1ccc(C(F)(F)F)cc1C(=O)/N=c1\sc(C(C)(C)C)cn1C[C@H]1CCCO1,1,1,1,1
COc1ccc(S(=O)(=O)c2ccc([C@H](C)NS(C)(=O)=O)cc2)c(S(=O)(=O)c2ccc(Cl)cc2)c1,1,1,1,1
CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)C(=O)OCCCCC#N)cc1OC2(C)C,1,1,1,1
CCCCCN1C(=O)C(C(=O)NC23CC4CC(CC(C4)C2)C3)=C(O)C2C1C=NN2C,1,1,1,1
CC1CCC(NC(=O)c2cc3cccnc3n(Cc3ccc(F)cc3)c2=O)CC1,1,1,1,1
COc1ccccc1/N=C1\OCC2(CCCCC2)CN1C(=S)SC,1,1,1,1
CSC(=S)N1CC2(CCCCC2)CO/C1=N\c1ccc(Cl)c2ccccc12,1,1,1,1
CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2ccc(S(=O)(=O)c3ccccc3)cc21,1,1,1,1
CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)c3cccc(F)c3)cc1OC2(C)C,1,1,1,1
CSC(=S)N1CC2(CCCCC2)CO/C1=N\c1cccc2ccccc12,1,1,1,1
O=S(=O)(c1ccccn1)c1ccc(OC(F)(F)F)cc1S(=O)(=O)N1CCC2(CC1)CC2NS(=O)(=O)C(F)(F)F,1,1,1,1
CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)c3ccccc3)cc1OC2(C)C,1,1,1,1
CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)c3cccc(C#N)c3)cc1OC2(C)C,1,1,1,1
C[C@H]1CC[C@@H](NC(=O)c2cc3cc(-c4cccs4)cnc3n(Cc3ccc(F)cc3)c2=O)CC1,1,1,1,1
CCCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccc(O)c(OC)c3)c(=O)[nH]c12,1,1,1,1
CC(=O)CCCCn1cc(C(=O)C2C(C)(C)C2(C)C)c2ccccc21,1,1,1,1
O=S(=O)(c1cc2ccccc2n1S(=O)(=O)c1ccccc1F)N1CCC2(CC1)C[C@@H]2NS(=O)(=O)C(F)(F)F,1,1,1,1
CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2cccc([N+](=O)[O-])c21,1,1,1,1
C[C@H](NS(C)(=O)=O)c1ccc(Cc2ccc(C(F)(F)F)cc2S(=O)(=O)c2ccccc2F)cc1,1,1,1,1
CC(C)(NC(=O)c1cc2c(n(CC3CCCCC3)c1=O)CCCCCC2)C(=O)NCCCO,1,1,1,1
COc1cccc(/N=C2\SCC3(CCCCC3)CN2C(=S)SC)c1,1,1,1,1
CSC(=S)N1CC2(CCCCC2)CS/C1=N\c1cccc(C)c1C,1,1,1,1
CSC(=S)N1CC2(CCCC2)CS/C1=N\c1ccccc1C(C)C,1,1,1,1
CCCCCCC(C)(C)c1ccc(-c2ccccc2OC)c(O)c1,1,1,1,1
CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cc4c(cc23)OCO4)C1(C)C,1,1,1,1
COc1ccc(-c2cc(C(=O)NC3CCCCCC3)c(=O)n(Cc3ccc(F)cc3)c2)cc1,1,1,1,1
CCCCCCC(C)(C)c1ccc2c(c1)OC(C)(C)c1ccc(CO)cc1-2,1,1,1,1
CCCCn1nc(C(C)(C)C)s/c1=N\C(=O)c1cc(C(F)(F)F)ccc1ONC(C)=O,1,1,1,1
CCCCn1nc(C(C)(C)C)s/c1=N/C(=O)c1cc(C(F)(F)F)ccc1NNC(=O)OC(C)(C)C,1,1,1,1
C[C@H](NS(C)(=O)=O)c1ccc(S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c2ccccc2F)cc1,1,1,1,1
CCCCC(=O)OCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(C)C[C@@H]21,1,1,1,1
CCCc1ccc(/C=C2\C=C(CCN3CCOCC3)c3ccccc32)c2ccccc12,1,1,1,1
CCOc1ccc(Cc2nc3cc(C(=O)N(CC)CC)ccc3n2CC2CCCC2)cc1,1,1,1,1
CSC(=S)N1CC2(CCCCC2)CO/C1=N\c1cccc2c1CCCC2,1,1,1,1
CSC(=S)N1CC2(CCCCC2)CO/C1=N\c1cc(C(C)(C)C)no1,1,1,1,1
CSC(=S)N1CC2(CCCCC2)CO/C1=N\c1nc(C(C)(C)C)cs1,1,1,1,1
