smiles,pKi
CCCCN1N=C(S/C/1=N\C(=O)c2cc(Cl)ccc2ONC(C)(C)C)C(C)(C)C,8.071
CN\C(=N/S(=O)(=O)N1CCC(F)(F)CC1)\N2CCC(C(=N2)c3ccc(Cl)cc3)c4ccccc4,6.607
CC1(C)C(C(=O)c2cn(Cc3ccncc3)c4ccccc24)C1(C)C,8.436
BrC1=CN(CCN2CCOCC2)C(=O)C(=C1)C(=O)NC3CCCCCC3,7.187
CCOc1ccc(Cc2nc3cc(ccc3n2CCC(C)C)C(=O)N4CCCCC4)cc1,6.415
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=S)C=C1c5ccccc5,7.726
CC(C)(NC(=O)C1=CC2=C(CCCCCC2)N(CC3CCCCC3)C1=O)C(=O)N4CCC(CC4)C(=O)O,6.424
CCCCCCc1ccc(O)cc1OCCCCCCCCCCC(=O)NC2CC2,7.523
CCS(=O)(=O)n1c2CN(Cc2c3cc(ccc13)C(=O)N4CCC(C)CC4)C5CCOC5,7.556
Clc1ccc(C(N2CCN(CC2)C(=O)N3CCCCC3)c4ccccc4)c(Cl)c1,6.006
COC(=O)CCCCN1C(=O)C(=Cc2cccnc12)C(=O)NC3CCC(C)CC3,7.567
CCCCNC(=O)c1nn(c2ccc(Cl)cc2Cl)c(c1C)n3c(C)ccc3C,6.337
CCCCCn1c2ccccc2c3cc(ccc13)C(=O)OCc4ccccn4,5.715
CCCCCCC(C)(C)c1cc(OC)c2[C@@H]3CC(=C)CC[C@H]3C(C)(C)Oc2c1,7.820
Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NC4CCN(CC4)C(=O)C5CCCC5,5.603
CCCCN1N(C)C(=C/C/1=N\C(=O)c2cc(ccc2NNC(=O)C(C)(C)C)C(F)(F)F)C(C)(C)C,9.398
Fc1ccccc1S(=O)(=O)c2cc(Cl)ccc2S(=O)(=O)N3CCC(F)(CNS(=O)(=O)C(F)(F)F)CC3,8.119
